disbursed_amount,asset_cost,ltv,PRI.NO.OF.ACCTS,PRI.ACTIVE.ACCTS,PRI.OVERDUE.ACCTS,PRI.CURRENT.BALANCE,PRI.SANCTIONED.AMOUNT,PRI.DISBURSED.AMOUNT,SEC.NO.OF.ACCTS,SEC.ACTIVE.ACCTS,SEC.OVERDUE.ACCTS,SEC.CURRENT.BALANCE,SEC.SANCTIONED.AMOUNT,SEC.DISBURSED.AMOUNT,PRIMARY.INSTAL.AMT,SEC.INSTAL.AMT,NEW.ACCTS.IN.LAST.SIX.MONTHS,DELINQUENT.ACCTS.IN.LAST.SIX.MONTHS,NO.OF_INQUIRIES,loan_default
90246,136044,69.83,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
53078,69699,78.91,5,1,0,-2424,0,0,0,0,0,0,0,0,0,0,0,0,0,0
40322,69515,61.86,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
53303,67638,79.84,5,3,0,701101,904598,904598,1,1,0,15490,15490,15490,3320,0,2,0,0,0
57437,75005,80.66,1,0,0,0,0,0,1,0,0,0,0,0,1149,0,0,0,0,0
71833,105638,70.52,15,1,0,9740,64500,64500,0,0,0,0,0,0,21148,0,0,0,0,1
60713,70733,87.65,4,0,0,0,0,0,0,0,0,0,0,0,53011,0,0,0,0,0
58259,78298,76.63,9,2,0,46154,130000,130000,0,0,0,0,0,0,19280,0,0,0,0,0
44849,61352,74.98,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
52078,74500,72.48,2,1,1,7745,26990,26990,0,0,0,0,0,0,0,0,0,0,0,0
53503,67652,80.12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
43525,69593,66.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
63413,89777,71.84,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
54463,62804,88.53,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
53778,60830,89.92,5,4,0,73517,94000,94000,0,0,0,0,0,0,5985,0,4,0,2,1
55186,66615,85.0,6,1,1,14003,12500,12500,0,0,0,0,0,0,2583,0,0,0,1,0
54459,67098,83.76,1,1,0,3559,4271,4271,0,0,0,0,0,0,745,0,1,0,1,1
39894,63704,64.36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
117486,175486,69.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
22574,45199,53.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
33739,57666,61.56,1,1,0,47012,47000,47000,0,0,0,0,0,0,59903,0,1,0,0,0
87620,144630,62.23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
59259,79371,75.59,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
62447,75393,84.89,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
42894,57768,76.17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
43644,63974,70.34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
52403,63324,85.0,9,3,0,46483,95201,95201,0,0,0,0,0,0,12648,0,1,0,0,0
55738,68377,85.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
51303,66087,78.68,1,1,0,1829,10999,10999,0,0,0,0,0,0,0,0,0,0,0,0
44318,79907,60.07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
42394,79500,54.09,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
51968,74290,72.02,3,1,0,2399,1667000,1667000,0,0,0,0,0,0,994498,0,0,0,0,0
56713,64954,89.29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
47649,74242,65.06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
62213,78776,79.97,2,1,0,30000,30000,30000,0,0,0,0,0,0,5292,0,1,0,1,0
48518,65500,79.39,1,0,1,0,0,0,0,0,0,0,0,0,982,0,0,0,1,0
70997,85950,84.47,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0
48149,63800,77.27,2,1,0,1600,14990,14990,0,0,0,0,0,0,833,0,0,0,0,1
54303,72390,75.98,3,0,0,0,0,0,1,0,0,0,0,0,8230,2065,0,0,0,0
50303,62815,82.78,1,1,0,690,690,690,0,0,0,0,0,0,0,0,0,0,0,0
47200,65012,74.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
60947,77108,81.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
38775,56534,69.87,13,3,0,1810323,2228568,2228568,0,0,0,0,0,0,68500,0,1,1,1,1
52338,62394,85.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
72317,106198,70.15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
56059,76165,74.97,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
49349,73268,68.24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
64282,82500,80.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
46049,68944,69.62,2,2,0,59312,61000,61000,0,0,0,0,0,0,3333,0,2,0,4,0
40394,69050,60.83,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
54513,69198,81.65,3,1,0,65698,0,0,0,0,0,0,0,0,0,0,0,0,0,1
44789,58650,78.33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
56459,64655,88.93,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
64213,72500,89.66,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
72817,100906,74.33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
51053,66494,82.71,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
49683,65993,78.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
58509,72286,83.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
54259,67044,83.53,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
59043,71583,85.0,1,0,0,0,0,0,0,0,0,0,0,0,1656,0,0,0,0,0
46369,98791,49.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
27529,42170,68.77,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
53703,69880,78.71,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
62447,71294,89.77,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
46199,75575,63.31,1,1,0,1468,30000,3041,0,0,0,0,0,0,0,0,0,0,0,0
48179,64722,76.22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
52803,67855,79.58,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
39394,68249,60.07,2,1,1,167862,80000,80000,0,0,0,0,0,0,0,0,0,0,0,0
51903,64151,81.99,1,0,0,0,0,0,0,0,0,0,0,0,2429,0,0,0,1,1
49872,71977,74.33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
33484,68464,51.12,2,2,0,26852,61500,61500,0,0,0,0,0,0,1941,0,0,0,0,0
65569,84700,79.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
65382,74868,89.49,6,5,3,2022752,2072607,2072607,0,0,0,0,0,0,73697,0,4,3,0,0
52703,67730,79.73,4,1,0,12481,60000,60000,0,0,0,0,0,0,0,0,0,0,0,0
57459,71953,83.39,36,6,0,160904,316760,316760,0,0,0,0,0,0,24209,0,3,0,0,0
45334,66172,74.05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
37675,66361,58.77,7,2,0,49556,69750,69750,0,0,0,0,0,0,9656,0,1,0,0,0
56259,95990,60.42,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
92755,132004,71.74,2,1,1,1250,15000,15000,0,0,0,0,0,0,0,0,0,0,0,0
40394,71356,58.86,2,1,1,5660,28300,28300,0,0,0,0,0,0,0,0,0,0,0,0
98899,168403,59.38,28,3,1,225982,224000,224000,0,0,0,0,0,0,542517,0,2,0,0,0
64800,80000,82.04,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
40394,60776,69.11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
51078,69851,74.44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
55459,74287,77.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
73023,148905,50.3,3,2,0,272915,367000,367000,0,0,0,0,0,0,19818,0,0,0,0,0
49403,64954,78.52,1,0,0,0,0,0,0,0,0,0,0,0,1967,0,0,1,1,0
57671,69544,85.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
58159,66876,88.22,3,2,0,269227,321636,321636,0,0,0,0,0,0,18719,0,0,0,0,0
44349,64354,71.48,8,4,0,360720,386000,470188,0,0,0,0,0,0,0,0,1,0,0,0
58259,72419,82.85,1,1,0,8953,21490,21490,0,0,0,0,0,0,0,0,1,0,1,0
33484,71993,47.23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
59647,72562,83.79,27,5,0,330841,361500,361500,0,0,0,0,0,0,0,0,2,0,0,0
64382,72873,89.88,1,1,0,6595,13195,13195,0,0,0,0,0,0,2200,0,1,0,1,0
52078,78743,68.58,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
50193,76073,67.55,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
52503,66087,81.71,15,3,1,91517,345326,345326,0,0,0,0,0,0,290574,0,0,1,0,0
63213,88709,72.15,4,2,0,321719,310000,310000,0,0,0,0,0,0,600000,0,1,0,0,0
43755,63906,71.05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
78979,100900,79.19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
53503,69030,79.68,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
72817,102460,72.22,4,3,0,359392,382335,382335,0,0,0,0,0,0,0,0,2,1,1,1
61333,76000,81.74,3,3,0,56500,100488,100488,0,0,0,0,0,0,0,0,2,0,0,1
58013,71500,82.52,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
45889,81206,59.11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
46349,59710,80.39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
68809,83627,88.49,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
80986,118325,69.98,1,1,0,81017,50000,50000,0,0,0,0,0,0,0,0,0,0,0,0
64829,86400,78.7,1,1,0,5790,19300,19300,0,0,0,0,0,0,0,0,0,0,0,1
61947,74626,84.42,5,2,0,50000,61400,61400,0,0,0,0,0,0,6197,0,1,0,0,0
48349,67100,74.52,9,4,4,1751653,1758109,1758109,0,0,0,0,0,0,1579,0,1,0,1,0
44303,66776,70.53,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
56259,72400,80.11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
57013,69593,84.78,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
51303,76030,69.71,1,1,0,1182607,1211133,1211133,0,0,0,0,0,0,0,0,0,0,0,0
53803,69500,79.14,8,5,1,458716,840439,840439,0,0,0,0,0,0,38718,0,0,1,0,0
37439,59086,64.31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
44145,62732,73.33,21,10,2,2064088,2352965,2352965,0,0,0,0,0,0,44941,0,6,2,1,1
55971,71055,80.92,1,1,0,0,37440,37440,0,0,0,0,0,0,0,0,0,0,0,0
45849,77311,60.15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
49153,66530,76.06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
41034,80783,53.23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
37275,100828,38.68,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
44893,59282,79.28,6,2,0,184782,368022,368022,0,0,0,0,0,0,0,0,0,0,0,0
52665,67330,80.95,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
59513,69695,87.52,8,6,0,2005785,2362349,2356614,0,0,0,0,0,0,5669,0,1,1,0,0
68882,99690,70.22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
71817,84900,85.98,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
58259,74146,79.57,10,1,1,33332,35000,35000,0,0,0,0,0,0,16795,0,1,0,2,0
44899,62650,73.42,5,5,0,1317377,1873000,1873000,0,0,0,0,0,0,20187,0,0,0,0,0
38841,70610,56.65,1,1,0,9870,19800,19800,0,0,0,0,0,0,0,0,1,0,0,0
50678,70002,73.71,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
55013,75726,75.27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
60913,103400,60.64,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
95490,172335,58.03,2,2,1,173446,226650,226650,0,0,0,0,0,0,55870,0,0,0,0,0
49303,86720,58.81,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
62849,91513,72.12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
56559,75128,76.54,3,2,1,125041,192000,157413,0,0,0,0,0,0,5867,0,0,0,0,0
95899,171746,58.23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
41481,66500,64.06,1,0,0,0,0,0,0,0,0,0,0,0,7683,0,0,0,0,1
39554,61830,67.93,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
45349,91920,50.59,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
78086,107900,74.98,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
50078,75850,68.56,2,1,0,5711,50700,50700,0,0,0,0,0,0,1083,0,0,0,0,0
53659,73927,74.94,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
50543,76245,68.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
38239,70807,55.36,3,1,0,16499,33000,33000,0,0,0,0,0,0,3300,0,1,0,0,0
64882,74800,88.9,4,1,0,24611,26000,26000,0,0,0,0,0,0,2280,0,1,0,1,0
53279,63538,88.14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
55513,69000,81.88,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
60447,73538,84.31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
58509,67982,88.26,2,1,0,0,43000,43000,0,0,0,0,0,0,0,0,0,0,0,0
54213,63641,87.99,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
57559,73016,81.49,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
82033,99723,84.23,1,1,0,180163,250000,250000,0,0,0,0,0,0,5876,0,0,1,0,0
56500,64800,88.73,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
71873,108500,68.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
55259,71500,78.32,3,3,0,22141,27139,27139,0,0,0,0,0,0,0,0,3,0,3,0
63559,85769,78.12,2,0,0,0,0,0,1,1,0,0,56900,56900,1211,2988,0,0,0,0
47774,62910,79.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
67882,85298,80.89,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
50606,64059,82.0,1,1,0,0,15000,15000,0,0,0,0,0,0,0,0,0,0,0,0
62947,87111,74.62,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
48349,71413,70.02,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
55013,70111,79.87,30,12,0,228055,323786,323786,0,0,0,0,0,0,28594,0,8,0,1,0
56259,71018,80.26,5,1,0,0,2508,2508,0,0,0,0,0,0,0,0,0,0,0,0
36099,61705,60.22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
44749,68218,67.43,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
53803,69029,79.68,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
58759,74301,80.08,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
58547,63397,94.8,7,2,0,300456,500000,500000,0,0,0,0,0,0,4551,0,0,0,0,0
57159,69450,84.81,4,4,0,2247294,2633048,2587197,6,1,0,27254,44600,44600,6680,0,0,0,0,0
36861,52663,74.06,9,3,0,105957,906953,907232,0,0,0,0,0,0,4904,0,0,0,0,0
86989,167980,52.98,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
43394,76351,57.63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
55013,64006,89.05,2,2,1,269755,251000,251000,0,0,0,0,0,0,147503,0,0,1,0,0
54724,66719,85.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
96990,154584,64.04,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
67169,99800,69.14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
61847,71115,88.59,4,2,0,35270,84000,84000,0,0,0,0,0,0,4886,0,1,0,1,1
56916,68121,85.0,6,3,2,1221136,254000,248342,0,0,0,0,0,0,15453,0,0,2,0,0
48650,62412,80.51,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0
46849,63238,75.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
55933,66258,87.54,10,3,1,148407,130629,130629,0,0,0,0,0,0,131415,0,2,0,4,1
53630,65215,84.99,5,3,0,96144,108716,108716,0,0,0,0,0,0,6813,0,2,0,4,1
45349,69673,66.02,1,1,0,27250,70000,70000,0,0,0,0,0,0,2159,0,0,0,0,0
65882,75000,90.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
55513,69118,82.47,6,0,0,0,0,0,2,1,0,29199,57000,59148,0,0,0,0,0,0
46449,62535,79.96,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
49049,70200,71.23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
59259,72490,82.77,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
43394,100096,44.96,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
33484,69062,50.68,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
48349,71715,69.72,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
51223,60460,89.32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
70317,86700,83.04,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
67669,92100,74.92,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
44745,62320,74.78,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
37439,65146,59.87,1,1,0,7091,10461,10461,0,0,0,0,0,0,1927,0,1,0,0,0
52303,104300,50.81,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
49349,73738,67.81,11,2,0,325486,400000,400000,0,0,0,0,0,0,16057,0,1,0,1,0
63802,95462,69.62,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
73317,85000,88.24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
53703,66650,82.52,2,0,0,0,0,0,0,0,0,0,0,0,1482,0,0,0,0,0
38574,54153,75.71,0,0,0,0,0,0,1,1,1,32208,47188,47188,0,2075,0,1,1,0
38894,63881,63.4,2,1,1,217476,310000,310000,0,0,0,0,0,0,0,0,0,0,0,0
61947,80371,78.39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
54659,63010,88.87,3,1,0,8630,10271,10271,0,0,0,0,0,0,3974,0,1,0,1,0
64369,78754,83.81,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
46649,63014,76.33,1,1,0,7500,25000,25000,0,0,0,0,0,0,0,0,0,0,0,0
69317,89057,79.72,5,3,0,128371,120500,120500,0,0,0,0,0,0,266840,0,0,0,0,1
63213,80662,80.58,88,24,11,39605136,45105400,45183800,9,4,1,16429,40739,40739,42435,2834,4,3,1,1
